RR Monitoring Started at Tue Aug  5 02:13:09 AM IST 2025
================================================
Timestamp,Domain,Run,Type,TW6,TW7,TW8,TW9,TW10,TW11,TW12,TW13,TW14,TW19,TW20,TW21,TW22_ANS_decrypt_end,TW22,TW23,TW24,RR_RTT_ms,PowerDNS_RTT_ms,ANS_RTT_ms,Status
2025-08-05 02:20:11,roydns.xyz,52,Custom,1754340606.416826,1754340606.417099,1754340606.421880,,,,1754340606.422152,1754340606.424496,1754340606.494992,1754340606.638233,1754340606.632813,1754340606.632839,1754340606.638222,1754340606.638249,1754340606.640304,1754340606.640307,223.54,,216.09,SUCCESS
2025-08-05 02:20:17,roydns.xyz,53,Custom,1754340609.848567,1754340609.848761,1754340609.856134,,,,1754340609.856442,1754340609.858799,1754340609.926845,1754340610.070904,1754340610.066319,1754340610.066340,1754340610.070892,1754340610.070917,1754340610.073167,1754340610.073172,224.66,,214.47,SUCCESS
2025-08-05 02:20:18,roydns.xyz,54,Custom,1754340613.267959,1754340613.268238,1754340613.273126,,,,1754340613.273404,1754340613.275727,1754340613.346023,1754340613.493875,1754340613.489678,1754340613.489699,1754340613.493863,1754340613.493886,1754340613.495917,1754340613.495919,228.01,,220.48,SUCCESS
2025-08-05 02:20:24,roydns.xyz,55,Custom,1754340616.712235,1754340616.712503,1754340616.716959,,,,1754340616.717210,1754340616.719528,1754340616.802963,1754340616.978035,1754340616.973680,1754340616.973704,1754340616.978024,1754340616.978049,1754340616.980079,1754340616.980083,267.90,,260.84,SUCCESS
2025-08-05 02:20:25,roydns.xyz,56,Custom,1754340620.196323,1754340620.196622,1754340620.201835,,,,1754340620.202104,1754340620.204431,1754340620.288937,1754340620.464454,1754340620.459994,1754340620.460015,1754340620.464444,1754340620.464466,1754340620.466613,1754340620.466616,270.35,,262.36,SUCCESS
2025-08-05 02:20:31,roydns.xyz,57,Custom,1754340623.685308,1754340623.685545,1754340623.692033,,,,1754340623.692272,1754340623.694102,1754340623.764286,1754340623.915533,1754340623.911298,1754340623.911317,1754340623.915522,1754340623.915545,1754340623.917588,1754340623.917591,232.34,,223.27,SUCCESS
2025-08-05 02:20:32,roydns.xyz,58,Custom,1754340627.123660,1754340627.123806,1754340627.132309,,,,1754340627.132542,1754340627.134353,1754340627.229700,1754340627.420965,1754340627.416719,1754340627.416737,1754340627.420946,1754340627.420978,1754340627.423058,1754340627.423062,299.48,,288.43,SUCCESS
2025-08-05 02:20:38,roydns.xyz,59,Custom,1754340630.629981,1754340630.630281,1754340630.637672,,,,1754340630.637913,1754340630.641906,1754340630.712269,1754340630.855483,1754340630.852973,1754340630.853058,1754340630.855477,1754340630.855492,1754340630.856624,1754340630.856627,226.68,,217.58,SUCCESS
2025-08-05 02:20:39,roydns.xyz,60,Custom,1754340634.081618,1754340634.081879,1754340634.087137,,,,1754340634.087381,1754340634.089179,1754340634.157233,1754340634.587649,1754340634.583691,1754340634.583710,1754340634.587640,1754340634.587662,1754340634.589458,1754340634.589460,507.89,,500.28,SUCCESS
2025-08-05 02:20:45,roydns.xyz,61,Custom,1754340637.805222,1754340637.805498,1754340637.811983,,,,1754340637.812285,1754340637.814573,1754340637.893592,1754340638.053388,1754340638.049342,1754340638.049360,1754340638.053377,1754340638.053401,1754340638.055428,1754340638.055432,250.26,,241.11,SUCCESS
2025-08-05 02:20:46,roydns.xyz,62,Custom,1754340641.258408,1754340641.258687,1754340641.266258,,,,1754340641.266515,1754340641.268350,1754340641.337449,1754340641.480043,1754340641.475543,1754340641.475579,1754340641.480029,1754340641.480057,1754340641.482312,1754340641.482315,223.98,,213.54,SUCCESS
