RR Monitoring Started at Mon Aug  4 11:42:48 PM IST 2025
================================================
Timestamp,Domain,Run,TW6,TW7,TW8,TW9,TW10,TW11,TW12,TW13,TW19,TW20,TW21,TW22,TW23,TW24,RR_RTT_ms,Status
2025-08-04 23:46:13,google.com,28,1754331363.026776,1754331363.027146,1754331363.032209,1754331363.032431,,1754331363.032939,,,,,,1754331363.032968,1754331363.034828,1754331363.034831,8.13,SUCCESS
2025-08-04 23:46:13,google.com,29,1754331366.241626,1754331366.241974,1754331366.251554,1754331366.251847,,1754331366.252560,,,,,,1754331366.252595,1754331366.254911,1754331366.254918,13.38,SUCCESS
2025-08-04 23:46:14,google.com,30,1754331369.455141,1754331369.455516,1754331369.464331,1754331369.464593,,1754331369.465197,,,,,,1754331369.465245,1754331369.467402,1754331369.467407,12.35,SUCCESS
2025-08-04 23:46:22,google.com,31,1754331372.668703,1754331372.669076,1754331372.674103,1754331372.674333,,1754331372.674851,,,,,,1754331372.674881,1754331372.676806,1754331372.676810,8.17,SUCCESS
2025-08-04 23:46:23,google.com,32,1754331375.880634,1754331375.880939,1754331375.888754,1754331375.889012,,1754331375.889609,,,,,,1754331375.889646,1754331375.892667,1754331375.892680,12.15,SUCCESS
2025-08-04 23:46:23,google.com,33,1754331379.090288,1754331379.090590,1754331379.097338,1754331379.097585,,1754331379.098075,,,,,,1754331379.098105,1754331379.099938,1754331379.099942,9.73,SUCCESS
2025-08-04 23:46:32,google.com,34,1754331382.312255,1754331382.312657,1754331382.319158,1754331382.319463,,1754331382.319981,,,,,,1754331382.320014,1754331382.322285,1754331382.322289,10.12,SUCCESS
2025-08-04 23:46:32,google.com,35,1754331385.534759,1754331385.535071,1754331385.543881,1754331385.544150,,1754331385.544731,,,,,,1754331385.544781,1754331385.546939,1754331385.546946,12.26,SUCCESS
2025-08-04 23:46:33,google.com,36,1754331388.759319,1754331388.759857,1754331388.767800,1754331388.768058,,1754331388.768660,,,,,,1754331388.768691,1754331388.770838,1754331388.770844,11.61,SUCCESS
2025-08-04 23:46:42,google.com,37,1754331391.964870,1754331391.965247,1754331391.971379,1754331391.971612,,1754331391.972088,,,,,,1754331391.972120,1754331391.974197,1754331391.974202,9.40,SUCCESS
2025-08-04 23:46:42,google.com,38,1754331395.178635,1754331395.178914,1754331395.183297,1754331395.183519,,1754331395.183994,,,,,,1754331395.184023,1754331395.185958,1754331395.185965,7.41,SUCCESS
2025-08-04 23:46:43,google.com,39,1754331398.393299,1754331398.393568,1754331398.400908,1754331398.401142,,1754331398.401665,,,,,,1754331398.401705,1754331398.403766,1754331398.403770,10.54,SUCCESS
2025-08-04 23:46:51,google.com,40,1754331401.617656,1754331401.618020,1754331401.624744,1754331401.624959,,1754331401.625362,,,,,,1754331401.625386,1754331401.627205,1754331401.627209,9.63,SUCCESS
2025-08-04 23:46:52,google.com,41,1754331404.842739,1754331404.842969,1754331404.846524,1754331404.846724,,1754331404.847210,,,,,,1754331404.847240,1754331404.849205,1754331404.849212,6.55,SUCCESS
2025-08-04 23:46:52,google.com,42,1754331408.051656,1754331408.051967,1754331408.058760,1754331408.058996,,1754331408.059531,,,,,,1754331408.059561,1754331408.061548,1754331408.061552,9.98,SUCCESS
2025-08-04 23:47:01,google.com,43,1754331411.279323,1754331411.279747,1754331411.287565,1754331411.287788,,1754331411.288245,,,,,,1754331411.288275,1754331411.290940,1754331411.290944,11.69,SUCCESS
