RR Monitoring Started at Thu Jul 31 03:21:01 PM IST 2025
================================================
Timestamp,Domain,Run,Type,TW6,TW7,TW8,TW9,TW10,TW11,TW12,TW13,TW14,TW19,TW20,TW21,TW22_ANS_decrypt_end,TW22,TW23,TW24,RR_RTT_ms,PowerDNS_RTT_ms,ANS_RTT_ms,Status
2025-07-31 16:15:19,chatgpt.com,844,Global,1753958706.536402,1753958706.536746,1753958706.542845,1753958706.543118,,1753958706.543776,,,,,,,,1753958706.543818,1753958706.546678,1753958706.546684,10.48,0.67,,SUCCESS
2025-07-31 16:15:20,chatgpt.com,845,Global,1753958709.740088,1753958709.740315,1753958709.745617,1753958709.745895,,1753958709.746511,,,,,,,,1753958709.746552,1753958709.749370,1753958709.749379,9.40,0.63,,SUCCESS
2025-07-31 16:15:20,chatgpt.com,846,Global,1753958712.946998,1753958712.947267,1753958712.956147,1753958712.956457,,1753958712.957105,,,,,,,,1753958712.957147,1753958712.959998,1753958712.960003,13.11,0.65,,SUCCESS
2025-07-31 16:15:21,chatgpt.com,847,Global,1753958716.156050,1753958716.156317,1753958716.165752,1753958716.166054,,1753958716.166649,,,,,,,,1753958716.166692,1753958716.169589,1753958716.169595,13.65,0.61,,SUCCESS
2025-07-31 16:15:29,chatgpt.com,848,Global,1753958719.361703,1753958719.362182,1753958719.373287,1753958719.373593,,1753958719.374231,,,,,,,,1753958719.374292,1753958719.377205,1753958719.377211,15.60,0.66,,SUCCESS
2025-07-31 16:15:30,chatgpt.com,849,Global,1753958722.572277,1753958722.572559,1753958722.578755,1753958722.579030,,1753958722.579660,,,,,,,,1753958722.579700,1753958722.582554,1753958722.582560,10.39,0.64,,SUCCESS
2025-07-31 16:15:30,chatgpt.com,850,Global,1753958725.777087,1753958725.777359,1753958725.786735,1753958725.787012,,1753958725.787666,,,,,,,,1753958725.787710,1753958725.790597,1753958725.790603,13.62,0.67,,SUCCESS
2025-07-31 16:15:42,chatgpt.com,851,Global,1753958728.980345,1753958728.980603,1753958728.986885,1753958728.987290,,1753958728.987902,,,,,,,,1753958728.987943,1753958728.990778,1753958728.990784,10.53,0.62,,SUCCESS
2025-07-31 16:15:42,chatgpt.com,852,Global,1753958732.186904,1753958732.187167,1753958732.196805,1753958732.197077,,1753958732.197739,,,,,,,,1753958732.197796,1753958732.201055,1753958732.201067,14.28,0.68,,SUCCESS
2025-07-31 16:15:43,chatgpt.com,853,Global,1753958735.390753,1753958735.391118,1753958735.401364,1753958735.401650,,1753958735.402267,,,,,,,,1753958735.402322,1753958735.405589,1753958735.405601,14.96,0.63,,SUCCESS
2025-07-31 16:15:44,chatgpt.com,854,Global,1753958738.600724,1753958738.601062,1753958738.608297,1753958738.608581,,1753958738.609203,,,,,,,,1753958738.609241,1753958738.612058,1753958738.612063,11.44,0.63,,SUCCESS
2025-07-31 16:15:52,chatgpt.com,855,Global,1753958741.804610,1753958741.804902,1753958741.814426,1753958741.814711,,1753958741.815310,,,,,,,,1753958741.815360,1753958741.818309,1753958741.818314,13.81,0.62,,SUCCESS
2025-07-31 16:15:52,chatgpt.com,856,Global,1753958744.989289,1753958744.989541,1753958744.996838,1753958744.997119,,1753958744.997762,,,,,,,,1753958744.997809,1753958745.000711,1753958745.000716,11.53,0.66,,SUCCESS
2025-07-31 16:15:53,chatgpt.com,857,Global,1753958748.199023,1753958748.199290,1753958748.204425,1753958748.204710,,1753958748.205223,,,,,,,,1753958748.205276,1753958748.208293,1753958748.208302,9.38,0.53,,SUCCESS
2025-07-31 16:16:01,chatgpt.com,858,Global,1753958751.395898,1753958751.396212,1753958751.406229,1753958751.406510,,1753958751.407109,,,,,,,,1753958751.407162,1753958751.410106,1753958751.410112,14.30,0.62,,SUCCESS
2025-07-31 16:16:02,chatgpt.com,859,Global,1753958754.609331,1753958754.609585,1753958754.619060,1753958754.619323,,1753958754.619922,,,,,,,,1753958754.619978,1753958754.623172,1753958754.623184,13.95,0.62,,SUCCESS
2025-07-31 16:16:02,chatgpt.com,860,Global,1753958757.816838,1753958757.817068,1753958757.825554,1753958757.825832,,1753958757.826354,,,,,,,,1753958757.826374,1753958757.829066,1753958757.829070,12.32,0.52,,SUCCESS
2025-07-31 16:16:14,chatgpt.com,861,Global,1753958761.018446,1753958761.018792,1753958761.027613,1753958761.027883,,1753958761.028438,,,,,,,,1753958761.028631,1753958761.031181,1753958761.031186,12.82,0.72,,SUCCESS
2025-07-31 16:16:14,chatgpt.com,862,Global,1753958764.229052,1753958764.229288,1753958764.234702,1753958764.234977,,1753958764.235571,,,,,,,,1753958764.235611,1753958764.238439,1753958764.238446,9.51,0.60,,SUCCESS
2025-07-31 16:16:15,chatgpt.com,863,Global,1753958767.439844,1753958767.440192,1753958767.450900,1753958767.451173,,1753958767.451839,,,,,,,,1753958767.451890,1753958767.454899,1753958767.454904,15.17,0.69,,SUCCESS
2025-07-31 16:16:16,chatgpt.com,864,Global,1753958770.652568,1753958770.652927,1753958770.661911,1753958770.662210,,1753958770.662884,,,,,,,,1753958770.662924,1753958770.666086,1753958770.666098,13.65,0.69,,SUCCESS
2025-07-31 16:16:24,chatgpt.com,865,Global,1753958773.864346,1753958773.864790,1753958773.875793,1753958773.876084,,1753958773.876753,,,,,,,,1753958773.876805,1753958773.879743,1753958773.879749,15.49,0.69,,SUCCESS
2025-07-31 16:16:24,chatgpt.com,866,Global,1753958777.083380,1753958777.083748,1753958777.089426,1753958777.089715,,1753958777.090328,,,,,,,,1753958777.090376,1753958777.093632,1753958777.093645,10.37,0.63,,SUCCESS
2025-07-31 16:16:25,chatgpt.com,867,Global,1753958780.285961,1753958780.286118,1753958780.292634,1753958780.292893,,1753958780.293513,,,,,,,,1753958780.293550,1753958780.296108,1753958780.296113,10.25,0.63,,SUCCESS
2025-07-31 16:16:33,chatgpt.com,868,Global,1753958783.501158,1753958783.501430,1753958783.512630,1753958783.512936,,1753958783.513483,,,,,,,,1753958783.513506,1753958783.516212,1753958783.516217,15.13,0.55,,SUCCESS
2025-07-31 16:16:34,chatgpt.com,869,Global,1753958786.712407,1753958786.712612,1753958786.721827,1753958786.722095,,1753958786.722750,,,,,,,,1753958786.722797,1753958786.725484,1753958786.725489,13.18,0.67,,SUCCESS
2025-07-31 16:16:34,chatgpt.com,870,Global,1753958789.916140,1753958789.916401,1753958789.922847,1753958789.923125,,1753958789.923817,,,,,,,,1753958789.923859,1753958789.926768,1753958789.926774,10.73,0.71,,SUCCESS
