timestamp,domain,run,query_time_ms,query_size,response_size,resolver,error
2025-09-02T07:12:58.611843,youtube.com,39,2.24,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.628733,youtube.com,40,2.4,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.644932,youtube.com,41,2.29,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.661563,youtube.com,42,2.48,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.678457,youtube.com,43,2.53,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.696158,youtube.com,44,2.48,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.712575,youtube.com,45,2.16,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.728638,youtube.com,46,2.11,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.744400,youtube.com,47,2.34,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.760722,youtube.com,48,2.18,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.776623,youtube.com,49,2.24,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.793788,youtube.com,50,2.1,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.811410,youtube.com,51,2.14,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.830603,youtube.com,52,2.15,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.846625,youtube.com,53,2.17,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.862422,youtube.com,54,2.06,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.879241,youtube.com,55,2.33,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.895771,youtube.com,56,2.12,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.911556,youtube.com,57,2.13,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.929724,youtube.com,58,2.14,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.945556,youtube.com,59,2.14,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.961582,youtube.com,60,2.1,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.978536,youtube.com,61,2.12,23,25,dnscrypt-proxy,
2025-09-02T07:12:58.995922,youtube.com,62,2.35,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.013673,youtube.com,63,2.09,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.029493,youtube.com,64,2.1,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.045527,youtube.com,65,2.21,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.061727,youtube.com,66,2.14,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.077672,youtube.com,67,2.22,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.093511,youtube.com,68,2.16,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.110537,youtube.com,69,2.09,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.126685,youtube.com,70,2.12,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.144846,youtube.com,71,2.17,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.163291,youtube.com,72,2.34,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.179625,youtube.com,73,2.11,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.195599,youtube.com,74,2.2,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.211703,youtube.com,75,2.13,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.227715,youtube.com,76,2.12,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.243697,youtube.com,77,2.12,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.259708,youtube.com,78,2.12,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.275547,youtube.com,79,2.13,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.291678,youtube.com,80,2.14,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.307687,youtube.com,81,2.12,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.323628,youtube.com,82,2.1,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.339540,youtube.com,83,2.09,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.355569,youtube.com,84,2.11,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.371577,youtube.com,85,2.08,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.388703,youtube.com,86,2.08,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.404652,youtube.com,87,2.1,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.420649,youtube.com,88,2.1,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.436735,youtube.com,89,2.14,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.452427,youtube.com,90,2.13,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.468485,youtube.com,91,2.36,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.484576,youtube.com,92,2.13,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.500475,youtube.com,93,2.11,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.516698,youtube.com,94,2.12,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.535117,youtube.com,95,2.53,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.550811,youtube.com,96,2.17,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.568932,youtube.com,97,2.27,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.584656,youtube.com,98,2.1,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.601207,youtube.com,99,2.32,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.618153,youtube.com,100,2.45,23,25,dnscrypt-proxy,
2025-09-02T07:12:59.657026,cloudflare.com,1,24.22,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.676702,cloudflare.com,2,2.78,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.694388,cloudflare.com,3,2.72,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.710972,cloudflare.com,4,2.36,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.727170,cloudflare.com,5,2.48,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.745134,cloudflare.com,6,2.43,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.761936,cloudflare.com,7,2.32,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.778111,cloudflare.com,8,2.45,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.794025,cloudflare.com,9,2.35,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.810542,cloudflare.com,10,2.9,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.826379,cloudflare.com,11,2.52,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.842005,cloudflare.com,12,2.37,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.857816,cloudflare.com,13,2.35,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.873931,cloudflare.com,14,2.36,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.889625,cloudflare.com,15,2.36,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.905900,cloudflare.com,16,2.38,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.921956,cloudflare.com,17,2.34,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.938702,cloudflare.com,18,2.31,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.954694,cloudflare.com,19,2.33,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.970737,cloudflare.com,20,2.34,26,40,dnscrypt-proxy,
2025-09-02T07:12:59.986776,cloudflare.com,21,2.33,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.002739,cloudflare.com,22,2.36,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.018765,cloudflare.com,23,2.35,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.034866,cloudflare.com,24,2.34,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.050905,cloudflare.com,25,2.34,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.066775,cloudflare.com,26,2.31,26,40,dnscrypt-proxy,
2025-09-02T07:13:00.082817,cloudflare.com,27,2.32,26,40,dnscrypt-proxy,
